screen	module	gene_set	n	responders	nonresponders	median_responder	median_nonresponder	median_difference	wilcoxon_p	rank_auc_lower_is_response	BH_FDR
historical	death_pathway_exclusion	CASP1;GSDMD;MLKL;RIPK3;GPX4;ACSL4	38	18	20	-0.1657458260801791	0.35525677992667437	-0.5210026060068534	0.01860065856918298	0.725	0.06510230499214044
historical	innate_inflammatory_context	NLRP3	38	18	20	-0.5421359139103247	0.12901026246533148	-0.6711461763756561	0.16493153959832263	0.6333333333333333	0.2309041554376517
historical	innate_input	TLR2;TLR4;TLR7;TLR8;MYD88;TNFRSF1A;TNFRSF1B;TNF	38	18	20	-0.3522726191613864	0.07537949088472876	-0.42765211004611514	0.04845222263778372	0.6888888888888889	0.11305518615482868
historical	mTORC2_membrane_dynamics	MTOR;RICTOR;AKT1	38	18	20	-0.22423656023033317	0.17641305475413177	-0.40064961498446494	0.6504431504190331	0.5444444444444444	0.6504431504190331
historical	membrane_cytoskeleton	RHOA;RAC1;CDC42;ACTB;ARPC2;ARPC3	38	18	20	-0.42357096221919616	0.05103112585178221	-0.47460208807097837	0.1321657102574444	0.6444444444444445	0.2309041554376517
historical	mitochondrial_oxidative	BAX;BAK1;BID;PPIF	38	18	20	-0.3883074994279505	0.11069730377839285	-0.49900480320634333	0.01860065856918298	0.725	0.06510230499214044
historical	myeloid_ecology	IL1B;SPP1;CXCL3	38	18	20	-0.17859191015523515	0.10400534708735934	-0.2825972572425945	0.22502905744099	0.6166666666666667	0.2625339003478217
