tumor_module	n_patients	spearman_r	p	fdr
innate_input	40	-0.470731707317073	0.00217318567546537	0.00869274270186148
mTORC2_membrane_dynamics	40	-0.0936210131332083	0.565561945608923	0.565561945608923
membrane_cytoskeleton	40	0.302439024390244	0.0578507648896614	0.115701529779323
mitochondrial_oxidative	40	-0.153470919324578	0.34441704234808	0.459222723130773
