metric	official_public	current	difference
n	38.0	38.0	0.0
responders	18.0	18.0	0.0
nonresponders	20.0	20.0	0.0
median_difference	-0.8329752709067231	-0.8329752709067227	-3.3306690738754696e-16
wilcoxon_p	0.03165088016995849	0.0316508801699584	9.020562075079397e-17
rank_auc_lower_is_response	0.7055555555555556	0.7055555555555556	0.0
rank_biserial_correlation	0.4111111111111112	0.4111111111111112	0.0
bootstrap_median_difference_percentile_interval_low	-1.4235141645542475	-1.4235141645542475	0.0
bootstrap_median_difference_percentile_interval_high	-0.21897560269259653	-0.2189756026925965	-2.7755575615628914e-17
bootstrap_rank_auc_percentile_interval_low	0.5194444444444445	0.5194444444444445	0.0
bootstrap_rank_auc_percentile_interval_high	0.8722222222222222	0.8722222222222222	0.0
bootstrap_direction_probability_lower_in_responders	0.9953	0.9953	0.0
arm_stratified_permutation_p	0.01749912504374781	0.0174991250437478	1.0408340855860843e-17
adjusted_odds_ratio_per_sd	0.44274060104250573	0.4427406010425057	5.551115123125783e-17
adjusted_odds_ratio_ci_low	0.20698151503770468	0.2069815150377046	8.326672684688674e-17
adjusted_odds_ratio_ci_high	0.9470374191423399	0.94703741914234	-1.1102230246251565e-16
adjusted_logit_p	0.03570828798280591	0.0357082879828059	1.3877787807814457e-17
