broad_id	compound	moa	target	n_mito_low	n_mito_high	median_lfc_mito_low	median_lfc_mito_high	delta_lfc_low_minus_high	wilcox_p	fdr	target_text	pathway_relevance
BRD-A26387268-050-04-4	ergonovine	adrenergic receptor agonist, serotonin receptor agonist	ADRA1A, HTR1E	15	15	-0.13431708948	-0.127799170561	-0.006517918919000026	0.8682259903524354	1.0	adrenergic receptor agonist, serotonin receptor agonist adra1a, htr1e	other
BRD-A92537424-001-04-7	danazol	estrogen receptor antagonist, progesterone receptor agonist	AR, CCL2, ESR1, GNRHR, GNRHR2, PGR	16	15	0.0058635020278000015	0.0123325828802	-0.006469080852399998	0.8588186957821996	1.0	estrogen receptor antagonist, progesterone receptor agonist ar, ccl2, esr1, gnrhr, gnrhr2, pgr	other
BRD-K52512893-001-08-9	SC-19220	prostanoid receptor antagonist	PTGER1	15	15	-0.126988047994	-0.120533391603	-0.0064546563909999854	0.8034625743147712	1.0	prostanoid receptor antagonist ptger1	other
BRD-K09735259-001-01-3	elbasvir	HCV inhibitor		16	15	0.118183932152	0.124614552015	-0.006430619863000003	1.0	1.0	hcv inhibitor 	other
BRD-K84266862-001-03-2	BRL-50481	phosphodiesterase inhibitor	PDE7A, PDE7B	15	15	0.214586006099	0.221000024532	-0.0064140184329999905	0.9338864180775845	1.0	phosphodiesterase inhibitor pde7a, pde7b	other
BRD-A61793559-001-15-6	metolazone	carbonic anhydrase inhibitor	SLC12A3	15	15	0.305799972221	0.312121712036	-0.006321739814999949	0.6783024655972324	1.0	carbonic anhydrase inhibitor slc12a3	other
BRD-K92613113-066-02-7	safinamide	dopamine uptake inhibitor, glutamate inhibitor, monoamine oxidase inhibitor	MAOB	16	15	-0.2473877258805	-0.241340236735	-0.006047489145500018	0.9212802540736247	1.0	dopamine uptake inhibitor, glutamate inhibitor, monoamine oxidase inhibitor maob	other
BRD-K15170068-001-03-2	swainsonine	alpha mannosidase inhibitor	MAN2A1	14	13	-0.17339356058299998	-0.167380252611	-0.006013307971999976	0.3198402344047556	1.0	alpha mannosidase inhibitor man2a1	other
BRD-A23127772-001-02-3	sclareol			15	15	0.341482954792	0.347435226388	-0.005952271595999981	0.6186695570822622	1.0	 	other
BRD-A91444184-300-01-9	buclizine	histamine receptor antagonist	CHRM1, HRH1	16	15	-0.09015910512635	-0.0842709324559	-0.005888172670449998	0.9527189705620791	1.0	histamine receptor antagonist chrm1, hrh1	other
BRD-K71289571-001-11-4	zafirlukast	leukotriene receptor antagonist	CYSLTR1, CYSLTR2	15	15	0.0282979979453	0.0340592742549	-0.005761276309599998	0.8357050269952793	1.0	leukotriene receptor antagonist cysltr1, cysltr2	other
BRD-K59146805-001-03-7	AZ3146	monopolar spindle 1 kinase inhibitor		15	15	-0.079481659592	-0.0737455784473	-0.005736081144700006	0.8682259903524354	1.0	monopolar spindle 1 kinase inhibitor 	other
BRD-K11672787-001-01-5	rostafuroxine	ATPase inhibitor	ATP1A1	15	15	-0.135205474398	-0.129493994797	-0.005711479600999991	0.9338864180775845	1.0	atpase inhibitor atp1a1	other
