broad_id	compound	moa	target	n_mito_low	n_mito_high	median_lfc_mito_low	median_lfc_mito_high	delta_lfc_low_minus_high	wilcox_p	fdr	target_text	pathway_relevance	test_family
BRD-K56343971-001-10-6	vemurafenib	RAF inhibitor	BRAF, RAF1	15	15	0.112838953395	-0.261228218506	0.374067171901	0.0128216846913915	1.0	raf inhibitor braf, raf1	other	BH across all 4,686 tested PRISM compounds
BRD-K41599323-001-02-3	lonafarnib	farnesyltransferase inhibitor	FNTA, HRAS, KRAS, NRAS	15	15	0.229058005741	-0.145014408439	0.37407241418	0.4306479898480777	1.0	farnesyltransferase inhibitor fnta, hras, kras, nras	other	BH across all 4,686 tested PRISM compounds
BRD-A72711497-236-03-8	lasalocid	bacterial permeability inducer		15	15	0.279315041456	-0.0964867067264	0.3758017481824	0.0890179777232632	1.0	bacterial permeability inducer 	other	BH across all 4,686 tested PRISM compounds
BRD-A47953250-001-01-7	ecamsule-triethanolamine			14	13	-1.3465765363600002	-1.72286405938	0.3762875230199998	0.9034412254330528	1.0	 	other	BH across all 4,686 tested PRISM compounds
BRD-A73427433-240-01-3	adaprev	TGF beta receptor inhibitor	IGF2R, M6PR	14	13	-0.379600479616	-0.756887390128	0.377286910512	0.3957656873455558	1.0	tgf beta receptor inhibitor igf2r, m6pr	other	BH across all 4,686 tested PRISM compounds
BRD-K66175015-001-09-0	afatinib	EGFR inhibitor	EGFR, ERBB2, ERBB4	14	15	0.298353095782	-0.0799464199339	0.3782995157159	0.3050688106228865	1.0	egfr inhibitor egfr, erbb2, erbb4	other	BH across all 4,686 tested PRISM compounds
BRD-K05434375-001-06-5	HA-1004	calcium channel blocker		15	15	0.571191928283	0.189630626528	0.381561301755	0.1057392020908793	1.0	calcium channel blocker 	other	BH across all 4,686 tested PRISM compounds
BRD-K78055238-001-01-8	LY2090314	glycogen synthase kinase inhibitor	GSK3B	14	15	0.02275762717883	-0.359004747648	0.38176237482683	0.1437248058279078	1.0	glycogen synthase kinase inhibitor gsk3b	other	BH across all 4,686 tested PRISM compounds
BRD-K68552125-001-05-3	12-O-tetradecanoylphorbol-13-acetate	PKC activator	KCNT2, TRPV4	15	15	0.118219169974	-0.263761633066	0.38198080304	0.4306479898480777	1.0	pkc activator kcnt2, trpv4	other	BH across all 4,686 tested PRISM compounds
BRD-K71467466-001-02-3	KPT-185	exportin antagonist	XPO1	15	15	-3.74747652571	-4.12957531417	0.3820987884600004	1.0	1.0	exportin antagonist xpo1	other	BH across all 4,686 tested PRISM compounds
BRD-K25311561-001-10-7	KU-55933	ATM kinase inhibitor	ATM, PRKDC	15	15	0.237148703093	-0.145125336107	0.3822740392	0.1844100692216365	1.0	atm kinase inhibitor atm, prkdc	other	BH across all 4,686 tested PRISM compounds
